"TIF Number","TIF District","Report Year","Tax Allocation Fund Balance","Property Tax Increment - Current","Property Tax Increment - Cumulative","Interest - Current","Interest - Cumulative","Land/Building - Current","Land/Building - Cumulative","Bond - Current","Bond - Cumulative","Note - Current","Note - Cumulative","Municipal - Current","Municipal - Cumulative","Revenue from Other Sources","Revenue from Private Sources","Private - Current","Cash Expenses","Distribution of Surplus","Transfers - Municipal","Total Expenditure","Net Income","Fund Balance","Description of Debt Obligations","Amount of Original Debt Issuance","Amount Designated - Debt Obligations","Descriptions of Project Costs to be Paid","Amount Designated - Project Costs","Surplus/Deficit"
"T-094","Chicago/Kingsbury","2017","$67,738,444","$21,896,129","$210,718,033","$1,056,170","$2,209,939","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$878,074","$50,000,000","$0","$50,878,074","$-27,925,775","$39,812,669",,"$0","$0","Restricted for future redevelopment project costs","$29,812,669","$10,000,000"
"T-095","Midwest","2017","$39,629,012","$15,613,854","$176,466,178","$639,879","$5,271,388","$0","$0","$0","$30,373,738","$0","$4,900,000","$2,250,000","$3,754,510","$0","$0","$0","$12,298,540","$0","$3,493,570","$15,792,110","$2,711,623","$42,340,635","Restricted for debt service","$28,830,000","$2,894,242","Restricted for future redevelopment project costs","$39,446,393","$0"
"T-096","Cicero/Archer","2017","$5,223,486","$580,960","$10,370,266","$82,126","$273,985","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$1,338,309","$38,800","$0","$1,377,109","$-714,023","$4,509,463",,"$0","$0","Restricted for future redevelopment project costs","$4,454,263","$55,200"
"T-097","51st/Archer","2017","$8,961,002","$749,666","$8,581,623","$177,498","$3,076,706","$0","$0","$0","$40,099,669","$0","$0","$3,003,133","$31,653,871","$0","$0","$0","$6,102,182","$0","$0","$6,102,182","$-2,128,070","$6,832,932","Restricted for debt service","$29,090,000","$3,841,695","Restricted for future redevelopment project costs","$2,991,237","$0"
"T-098","63rd/Pulaski","2017","$4,423,648","$1,402,877","$27,339,601","$77,986","$404,547","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$81,274","$0","$1,846,926","$1,928,200","$-447,337","$3,976,311",,"$0","$0","Restricted for future redevelopment project costs","$3,976,311","$0"
"T-099","Archer/Central","2017","$1,770,958","$228,823","$8,698,623","$29,409","$154,662","$0","$0","$0","$0","$0","$0","$0","$240,000","$0","$0","$0","$638,561","$13,800","$0","$652,361","$-389,013","$1,381,945",,"$0","$0","Restricted for future redevelopment project costs","$1,354,645","$27,300"
"T-100","Ohio/Wabash","2017","$1,671,287","$1,812,871","$20,304,058","$17,820","$105,896","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$1,683,599","$0","$0","$1,683,599","$147,092","$1,818,379",,"$0","$0","Restricted for future redevelopment project costs","$1,818,379","$0"
"T-101","Jefferson/Roosevelt","2017","$12,468,850","$5,904,320","$60,736,261","$212,547","$698,061","$0","$0","$0","$0","$0","$0","$0","$12,500,000","$0","$0","$0","$996,411","$11,000,000","$0","$11,996,411","$-5,879,544","$6,589,306",,"$0","$0","Restricted for future redevelopment project costs","$1,589,306","$5,000,000"
"T-102","Montclare","2017","$506,020","$301,837","$4,492,482","$6,721","$29,004","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$185,597","$17,900","$0","$203,497","$105,061","$611,081",,"$0","$0","Restricted for future redevelopment project costs","$586,781","$24,300"
"T-103","Lake Calumet Area Industrial","2017","$8,454,990","$2,309,151","$40,168,272","$142,934","$506,374","$0","$0","$0","$0","$0","$0","$34,000","$4,284,000","$0","$0","$0","$673,077","$0","$400,000","$1,073,077","$1,413,008","$9,867,998",,"$0","$0","Restricted for future redevelopment project costs","$9,867,998","$0"
"T-104","River West","2017","$58,983,767","$16,640,646","$159,388,887","$817,771","$2,413,072","$0","$1,825,083","$0","$0","$0","$0","$0","$0","$0","$0","$0","$2,785,130","$11,000,000","$0","$13,785,130","$3,673,287","$62,657,054",,"$0","$0","Restricted for future redevelopment project costs","$42,657,054","$20,000,000"
"T-105","53rd Street","2017","$5,754,990","$3,521,069","$19,282,873","$76,767","$191,253","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$3,524,904","$0","$0","$3,524,904","$72,932","$5,827,922",,"$0","$0","Restricted for future redevelopment project costs","$5,827,922","$0"
"T-106","Englewood Neighborhood","2017","$19,123,542","$3,916,434","$57,064,353","$275,775","$959,178","$0","$0","$0","$0","$0","$750,000","$0","$0","$0","$0","$0","$1,165,837","$365,100","$45,883","$1,576,820","$2,615,389","$21,738,931",,"$0","$0","Restricted for future redevelopment project costs","$21,238,731","$500,200"
